userName,score,at,content,manual_label
papan madhang YK,5,2023-06-19 14:12:10,Bermanfaat dan bermartabat,positive
Restu Avanza,1,2023-06-18 07:49:50,Gak guna mi,negative
Jhuniara,5,2023-06-13 03:17:32,"Pengalaman sya sih, ni aplikasi bukan mempermudah malah makin ribet 😒",negative
Taufiq Ilham Azhari,5,2023-06-13 03:00:08,"Aplikasi yang sangat bermanfaat bagi warga Kota Yogyakarta. Sedikit saran suara notifikasi agar dapat diganti sebab selain mengagetkan, tak mencerminkan alunan lagu khas Jogja",positive
Pangastutik Santikrama,1,2023-06-09 03:31:49,Astaghfirulloh.. Mau log in susahnya ampun deh,negative
agung bintoro,5,2023-06-05 01:54:59,Membantu,positive
muhammad qomarudin,1,2023-05-22 12:17:17,ga fungsi...uda daftar gangguan terus,negative
Ari Prasetyo,3,2023-05-08 04:07:18,Mau permohonan ganti KTP rusak tp daftarnya selfi pake ktp trus gimana ya? Soalnya ktp nya aja rusak mau selfi pake ktp siapa mas,neutral
Ivan YP,5,2023-05-04 11:37:30,"Luar biasa, banyak kemudahan yg didapat",positive
Davin eko Jatmiko,5,2023-04-30 09:01:18,Rong nyobo ndes Jogja banyak kliteh,neutral
Nugroho Kristiawan,1,2023-04-27 04:11:34,Mau lihat data warga tidak bisa dan aplikasi lemot pol mohon diperbaiki lagi,negative
Wandi W,1,2023-04-22 05:51:55,Sering gagal nyambung ke wifi,negative
nabilla faiqa almaqhvira,5,2023-04-17 02:10:39,"Bermanfaat sekali, tingkatkan",positive
Rizda Bagus,1,2023-04-14 04:15:24,"Pelayanan online masih berantakan banget, ngurus KK baru ribetnya minta ampun, admin wa nya juga slow respon banget, cari pegawai yang kompeten lahh",negative
Novi Wulan,5,2023-04-11 04:26:59,Sangat bermanfaat dan komunikatif,positive
Hanung Sadewa,5,2023-04-10 05:55:53,Sangat membantu,positive
Wahyu Haryadi,5,2023-04-10 03:57:04,Tingkatkan,neutral
lotek campus56,5,2023-04-10 02:35:52,Mantab,positive
putri arisma,5,2023-04-06 22:47:05,"Aplikasi nya mantaapp. Sesuai dengan namanya smart service, semoga ke depan makin di perbaiki lgi sistem yang masih kurang👍",positive
Garasi Cellular,5,2023-04-05 03:29:30,Sangat bermanfaat untuk kepengurusan KIA KTP Akta,positive
Purnomo Murni,5,2023-04-05 01:48:37,Sangat bagus dan bermanfaat,positive
abah dzar,5,2023-04-04 01:43:46,Alhamdulillah mantab,positive
Rini Sulistyowati,5,2023-03-31 02:58:54,"Sangat membantu sekali, semua pelayanan di pemerintah kota Yogyakarta. Petugasnya ramah dan membantu",positive
Subur Rahayu,5,2023-03-31 02:46:25,"Aplikasinya sangat membantu masyarakat, petugasnya ramah. Terimakasih",positive
13 Ega Putri,5,2023-03-31 02:26:27,"Aplikasinya cukup membantu dan memudahkan dalam pemrosesan, tingkatkan",positive
Tri Yono,5,2023-03-31 02:00:29,Sangat membantu sekali. Mantap,positive
Ahmad Nurhidayad,5,2023-03-31 01:40:12,"Aplikasinya sangat bermanfaat dan petugasnya ramah, komunikatif",positive
Juli Nugrohowati,5,2023-03-31 01:12:02,Pelayanannya sangat memuaskan dan petugasnya sangat membantu,positive
Mahendra Kuswara,5,2023-03-30 03:01:42,"Pelayanan jss di mpp sangat bagus , sangat membantu masyarakat",positive
Hesti aprilia,5,2023-03-30 02:46:18,Sangat membantu sekali dalam mendapatkan informasi mengenai lingkup pemerintah,positive
Widhia Handayani,4,2023-03-30 01:19:07,Layanannya baik dan cepat.,positive
matilda donna,5,2023-03-29 05:27:26,"Aplikasinya sangat bermanfaat buat warga Jogja, semoga bisa lebih dikembangkan lagi🙏",neutral
Susila Hadi,5,2023-03-29 01:24:06,Akses Lebih cepat dari senjatanya korut,positive
Adi Prasetyo Nugroho,5,2023-03-28 10:45:07,"aplikasi sangat membantu dalam urusan urusan kependudukan dan lain lain, dan tidak banyak memakai ruang penyimpanan dalam handphone",positive
Ayuk Widiastutik,5,2023-03-28 03:41:27,"Aplikasi ini sangat bermanfaat dan membantu masyarakat karena bisa di akses dimana saja, menunya juga lengkap",positive
